-380328,-1,-86245440,264527,-4,-799,0,0,0,80,0,20,1,0,0,0,36,0,0,0,13,20,0,1,-5,-3,-11,-19,0,0,0,0,0,-17,-1699
-380328,-1,-86245440,264527,-4,-799,0,0,0,80,0,20,1,0,0,0,36,0,0,0,13,20,0,1,-5,-3,-11,-19,0,0,0,0,0,-17,-1699
-7653,-1,-989806,-357257,-3,-79,0,0,0,186,-1,0,2,2,0,0,-4,0,0,-1,24,10,-1,0,-2,3,-18,-13,0,-1,-30,-1,0,0,0
-411086,-1,-116828751,-81339,-4,816,0,0,0,1362,0,20,-3,0,0,1,-25,0,0,0,18,10,0,0,-7,-4,-13,-13,0,0,-10,0,0,-33,-3301
-24425,-1,-3565701,-281252,-4,718,0,0,0,111,-1,30,-2,1,0,1,0,-1,0,0,20,0,0,0,-27,-32,-18,17,0,-1,-30,-1,-1,0,0
-182548,-1,-35198713,-705610,-2,599,0,0,0,118,-1,0,1,1,0,1,-32,-3,0,0,17,10,0,1,-7,-4,-23,-11,0,0,-30,-1,0,0,0
64775,-1,26735782,-50532,-6,306,0,0,0,-46,0,-10,0,0,0,0,16,2,-3,0,10,-10,0,0,-5,-5,-15,-10,0,0,-20,-1,0,0,0
1579,-1,654385,-102151,0,-176,0,0,0,45,0,20,2,0,0,0,7,3,-1,0,1,0,0,0,-52,-12,-170,-16,-1,0,-20,-1,0,33,3300
112939,-1,40799299,-163683,2,-184,0,0,0,-1078,0,-20,0,-1,0,-2,13,-1,-3,0,8,0,0,-1,-29,-20,-15,-12,-1,0,-20,-1,0,0,0
210220,-1,71399860,-331135,1,0,0,0,0,-1927,0,-10,-2,-1,0,0,-25,-1,-3,0,4,-20,0,-1,-12,-14,-15,-15,-1,0,-20,-1,0,33,3300
9279,-1,3391233,-242874,1,118,0,0,0,1007,0,-10,5,0,0,1,2,0,-4,0,10,10,0,0,-17,-15,-10,-12,-1,0,0,0,0,33,3302
-42168,-1,-26346676,-478913,-3,217,0,0,0,-1648,1,-10,5,0,0,1,17,3,-4,0,18,-20,-1,0,-14,-8,-170,-180,-1,0,-20,-1,0,0,0
-21939,-1,-12657936,-478385,-3,-700,0,0,0,-882,0,0,-2,-1,0,-2,-25,2,-4,-1,11,0,0,15,-52,-60,-170,-180,-1,0,-20,-1,-1,0,0
25982,-1,10698949,-24820,0,-786,0,0,0,-1178,1,-10,0,1,0,0,-8,3,-4,0,14,20,0,0,-27,-20,-13,-10,-1,0,-20,-1,0,0,0
105650,-1,38718270,15,2,11,0,0,0,62,1,0,0,1,0,-2,17,3,-4,0,13,10,0,-1,-17,-18,-15,-8,-1,0,0,0,0,33,3301
-10827,-1,-5492034,-5484,-1,-401,0,0,0,-1163,0,0,0,1,0,0,-15,0,-4,0,4,10,0,0,-14,-15,-15,-15,-1,0,0,0,-1,33,3301
118515,-1,42455905,-58584,0,-494,0,0,0,-512,0,-10,0,0,0,1,-25,-1,-4,0,4,10,0,-1,-12,-14,-8,-12,-1,0,0,0,-1,33,3300
132174,-1,28804163,-75580,-1,94,0,0,0,293,1,0,0,-1,0,0,-16,-4,1,0,12,10,0,0,-8,-7,-17,-2,-1,0,-10,0,-1,38,3799
-53370,-1,-15535921,-454958,-2,-305,0,0,0,299,1,0,0,-1,0,0,-23,-4,1,0,16,0,0,0,-4,-9,-10,-10,-1,0,-10,0,-1,10,999
161978,-1,33089731,1706,-2,8,0,0,0,282,1,0,0,-1,0,0,-26,-4,1,0,13,10,0,6,-6,-8,-15,-5,-1,0,-10,0,0,10,1000
-194588,-1,-65692462,-478056,-8,-107,0,0,0,2013,0,0,0,-1,0,0,14,-1,1,0,8,0,0,0,1,-5,-19,-18,0,0,-10,0,0,10,1000
100844,-1,24677201,10381,-1,-185,0,0,0,257,1,0,1,0,0,0,-17,-3,1,0,23,0,0,0,-8,-7,-15,0,-1,0,-10,0,0,10,1000
66306,-1,19576696,137129,0,-1,0,0,0,606,1,30,1,-1,0,0,-16,4,-2,0,13,0,0,1,-10,-8,-11,-23,0,0,10,-1,0,0,0
-70130,-1,-22077635,99669,1,-198,0,0,0,1940,1,10,4,-1,0,0,-9,1,0,0,14,-10,0,0,-10,-11,-173,-193,0,0,-20,-1,0,0,0
211575,-1,49808169,-198207,-3,-908,0,0,0,3,0,10,1,0,0,0,14,4,-2,0,10,-10,0,0,-3,-8,-13,-25,0,0,-20,-1,0,0,0
261518,-1,56931523,137245,-5,-402,0,0,0,157,1,10,1,1,0,0,15,1,-2,0,6,20,0,0,-4,-8,-10,-23,0,0,10,0,0,0,0
-64064,-1,-20127825,95909,-2,-315,0,0,0,466,0,0,6,1,0,0,1,0,-2,0,6,0,0,-1,-9,-16,-10,-24,0,0,0,0,0,0,0
-41717,-1,-8688427,2345,0,492,0,0,0,357,1,0,-2,2,0,0,-3,-4,2,0,11,30,0,-3,-4,-3,-7,-11,-1,0,0,0,0,0,0
-99824,-1,-29762141,35710,-1,481,0,0,0,937,1,20,-2,1,0,0,23,-4,0,0,6,20,0,-3,-4,-7,-14,-19,-1,0,10,0,0,0,0
90131,-1,12127392,-3035885,-2,892,0,0,2,32,0,0,0,1,0,0,6,-4,0,0,9,0,-1,12,-3,-5,-17,-16,-1,0,0,0,0,0,0
-304356,-1,-107781304,5880,-1,-22,0,0,0,836,1,0,-3,2,0,0,34,0,0,0,12,10,0,-3,-2,-5,-10,-21,0,0,-20,-1,0,0,-1
-218083,-1,-65960133,-10609,-4,203,0,0,2,265,1,0,3,1,0,0,-3,-4,0,0,19,10,-1,-3,-5,-5,-9,-11,-1,0,0,0,-1,0,0
-285410,-1,-95308556,-18730,-9,1101,0,0,0,2003,1,0,-2,2,0,0,18,-3,0,0,10,20,0,-3,-2,-4,-12,-16,0,0,0,0,0,0,0
124198,-1,17152666,35566,-3,793,0,0,0,386,1,0,-3,1,0,0,10,-4,0,0,9,10,0,-3,-1,-5,-17,-19,0,0,0,0,0,0,0
98086,-1,13297623,-27364,-3,793,0,0,0,18,0,0,-2,1,0,0,3,0,0,0,10,30,0,-3,-7,-4,-12,-19,-1,0,-10,0,0,0,0
-103897,-1,-31018089,-91551,-1,502,0,0,0,313,1,0,-3,1,0,0,5,-3,0,0,9,0,0,-3,-6,-3,-27,-4,-1,3,-20,-1,-1,9,900
-64467,-1,-18682701,-2001057,-2,88,0,0,0,908,1,0,-2,2,0,0,-5,-4,4,0,10,10,0,-3,-6,-7,-12,-23,-1,0,0,0,0,0,-1
8254,-1,1106830,-652463,-6,981,0,0,2,620,1,-10,0,1,0,0,0,-1,1,0,9,10,-1,-3,-3,-1,-17,-19,-1,0,-20,-1,0,0,0
